MW,,dlogMW
943.559,2.974769061,0
972.273,2.987788226,0
1001.86,3.000807037,0
1032.35,3.013826962,0
1063.77,3.026847738,0
1096.14,3.039866026,0
1129.5,3.052886235,0
1163.87,3.065904474,0
1199.29,3.078924212,0
1235.79,3.091944677,0
1273.4,3.104964846,0
1312.15,3.117983485,0
1352.08,3.131002389,0
1393.23,3.144022817,0
1435.63,3.157042525,0
1479.32,3.170062129,0
1524.34,3.183081846,0
1570.73,3.196101539,0
1618.53,3.209120754,0
1667.78,3.222138761,0
1718.54,3.235159645,0
1770.84,3.248179323,0
1824.73,3.261198612,0.000715365
1880.26,3.274217907,0.0017003
1937.48,3.287237228,0.00206097
1996.44,3.300256263,0.00240035
2057.2,3.313276516,0.00302349
2119.81,3.326296937,0.00357569
2184.32,3.339316262,0.0042343
2250.79,3.352334977,0.00509864
2319.29,3.365355055,0.00566503
2389.87,3.378374278,0.0064939
2462.6,3.391393875,0.00761362
2537.54,3.404412897,0.00835737
2614.77,3.417433494,0.00914367
2694.34,3.430452399,0.00948305
2776.33,3.443471086,0.0107234
2860.82,3.456490533,0.0113181
2947.89,3.469511274,0.0121044
3037.6,3.482530584,0.0131249
3130.04,3.495549888,0.0144503
3225.29,3.50856877,0.0156055
3323.45,3.521589149,0.0158172
3424.59,3.534608584,0.0161069
3528.81,3.547628275,0.0164534
3636.2,3.560647762,0.0167644
3746.86,3.573667466,0.0174088
3860.88,3.586686304,0.0183867
3978.38,3.599706263,0.0188324
4099.45,3.612725594,0.0197748
4224.21,3.6257455,0.0205966
4352.76,3.638764722,0.0214822
4485.22,3.65178375,0.0223395
4621.72,3.664803631,0.0234592
4762.37,3.677823134,0.0240398
4907.3,3.690842609,0.0247835
5056.64,3.703862036,0.0265772
5210.53,3.716881901,0.0274415
5369.1,3.729901493,0.0288024
5532.49,3.742920638,0.0300782
5700.86,3.755940376,0.0313256
5874.35,3.768959819,0.0332115
6053.12,3.781979284,0.0340333
6237.33,3.794998722,0.0343443
6427.15,3.808018436,0.034556
6622.74,3.821037706,0.035172
6824.29,3.834057474,0.0363059
7031.97,3.847077009,0.0371774
7245.97,3.860096532,0.0378998
7466.48,3.873115906,0.0393955
7693.71,3.886135812,0.0411325
7927.85,3.899155424,0.0420677
8169.11,3.912174744,0.0427192
8417.71,3.92519396,0.0429735
8673.89,3.93821391,0.044079
8937.85,3.951233062,0.0446951
9209.85,3.964252557,0.0456162
9490.13,3.977272162,0.045913
9778.94,3.990291781,0.0473874
10076.5,4.003309709,0.0500536
10383.2,4.016331219,0.0518047
10699.2,4.029351306,0.0532366
11024.8,4.04237072,0.0547962
11360.3,4.0553898,0.0561925
11706,4.06840852,0.0582061
12062.3,4.081430126,0.0599572
12429.3,4.094446671,0.061233
12807.6,4.107467755,0.0630763
13197.4,4.12048838,0.0644727
13599,4.133506974,0.065713
14012.8,4.146524924,0.0668824
14439.3,4.15954614,0.0688392
14878.7,4.172564987,0.0703775
15331.5,4.185584647,0.0720293
15798.1,4.198604859,0.0740287
16278.9,4.211625055,0.0764111
16774.3,4.224644406,0.0793753
17284.7,4.237661846,0.081545
17810.8,4.250683427,0.0834663
18352.8,4.263702332,0.0854799
18911.3,4.276721384,0.0877276
19486.8,4.289740528,0.0905853
20079.8,4.302759383,0.0940319
20690.9,4.315779382,0.0967832
21320.6,4.328799422,0.0999106
21969.4,4.341818196,0.102449
22638,4.354838056,0.10486
23327,4.367858889,0.107505
24036.9,4.380878457,0.109845
